Language,Subject,Grapheme,L,u,v,BerlinKay
Japanese,JP087,ま,37.6704361435912,92.1414175716915,19.8612447395218,Red
Japanese,JP087,み,86.974374109144,35.8559500966277,91.7918137400457,Yellow
Japanese,JP087,む,20.5093454680551,10.1061431320304,-61.270818956904,Purple
Japanese,JP087,め,52.8206036710437,-9.17259186658442,-14.8729895142063,Grey
Japanese,JP087,も,75.0298400554407,75.3591815983382,73.7823406653885,Orange
Japanese,JP087,や,74.80080980648,70.8437854949112,37.7429618957788,Orange
Japanese,JP087,ゆ,73.4222436866115,30.8133269820014,-39.405010443081,Purple
Japanese,JP087,よ,90.3425983681555,10.9885462250608,60.7879819239822,Yellow
Japanese,JP087,ら,75.0298400554407,75.3591815983382,73.7823406653885,Orange
Japanese,JP087,り,90.3425983681555,10.9885462250608,60.7879819239822,Yellow
Japanese,JP087,る,0,0,0,Black
Japanese,JP087,れ,90.3425983681555,10.9885462250608,60.7879819239822,Yellow
Japanese,JP087,ろ,72.530001127448,-63.406486809027,81.0861247254546,Green
Japanese,JP087,わ,61.8311679279895,57.6015964502802,48.6486780577356,Orange
Japanese,JP087,を,91.7493334659133,19.7172648261011,36.7103560908579,Orange
Japanese,JP087,ん,0,0,0,Black
Dutch,13602,A,39.2828741443653,107.916170947558,23.2615205954897,Red
Dutch,13602,B,56.1068135290404,86.7569051573103,47.6558303453596,Orange
Dutch,13602,C,75.0298400554407,75.3591815983382,73.7823406653885,Orange
Dutch,13602,D,37.5534673895087,55.9591005834543,31.5836191342031,Brown
Dutch,13602,E,72.530001127448,-63.406486809027,81.0861247254546,Green
Dutch,13602,F,52.1403635153062,-40.7751330909974,-8.78915170777322,Green
Dutch,13602,G,69.6080844432367,96.4335220556687,65.2253384095396,Orange
Dutch,13602,H,89.3841029284013,25.4064581126562,28.4483091380325,Orange
Dutch,13602,I,100,3.60822483003176e-14,0,White
Dutch,13602,J,89.3841029284013,25.4064581126562,28.4483091380325,Orange
Dutch,13602,K,97.149502721359,7.89814753861037,106.440984408892,Yellow
Dutch,13602,L,69.237795605577,0,-4.99651066561413e-14,Grey
Dutch,13602,M,12.9382171045466,-3.87679815760277,-52.2464552899982,Blue
Dutch,13602,N,52.4184970914419,-25.4053124502217,-48.3445061182237,Blue
Dutch,13602,O,0,0,0,Black
Dutch,13602,P,75.0298400554407,75.3591815983382,73.7823406653885,Orange
Dutch,13602,Q,25.681533305254,84.2049680527698,18.1505290764431,Red
Dutch,13602,R,70.8746940117447,44.7375843247334,69.7831674913883,Orange
Dutch,13602,S,86.974374109144,35.8559500966277,91.7918137400457,Yellow
Dutch,13602,T,0,0,0,Black
Dutch,13602,U,44.9368145274019,93.253731767522,-32.4980229151277,Pink
Dutch,13602,V,73.4222436866115,30.8133269820014,-39.405010443081,Purple
Dutch,13602,W,30.8253879858165,-0.670619819340094,-58.1640561272841,Blue
Dutch,13602,X,90.1330159330765,23.9523895385332,38.5473494941841,White
Dutch,13602,Y,83.6413938820827,38.8535758808176,0.523194528700634,Pink
Dutch,13602,Z,73.4222436866115,30.8133269820014,-39.405010443081,Purple
Dutch,17790,A,32.2407492302177,-9.66059513497557,-130.192966276681,Blue
